pixels,t0,t1,t2
"(7, 4)",(255),(0.0),(0.0)
"(7, 5)",(255),(25.5),(12.75)
"(7, 6)",(255),(38.25),(51.0)
"(7, 7)",(255),(12.75),(12.75)
"(7, 8)",(255),(51.0),(25.5)
"(7, 9)",(255),(12.75),(38.25)
"(7, 10)",(255),(38.25),(63.75)
"(7, 11)",(255),(89.25),(76.5)
"(7, 12)",(255),(51.0),(12.75)
"(7, 13)",(255),(38.25),(25.5)
"(7, 14)",(255),(38.25),(89.25)
"(7, 15)",(255),(0.0),(38.25)
"(7, 16)",(255),(25.5),(25.5)
"(7, 17)",(255),(38.25),(12.75)
"(7, 18)",(255),(38.25),(25.5)
"(7, 19)",(255),(38.25),(38.25)
"(8, 0)",(255),(12.75),(0.0)
"(8, 1)",(255),(25.5),(12.75)
"(8, 2)",(255),(25.5),(25.5)
"(8, 3)",(255),(38.25),(38.25)
"(8, 4)",(255),(12.75),(12.75)
"(8, 5)",(255),(38.25),(12.75)
"(8, 6)",(255),(12.75),(25.5)
"(8, 7)",(255),(51.0),(51.0)
"(8, 8)",(255),(25.5),(25.5)
"(8, 9)",(255),(12.75),(0.0)
"(8, 10)",(255),(12.75),(12.75)
"(8, 11)",(255),(25.5),(38.25)
"(8, 12)",(255),(25.5),(38.25)
"(8, 13)",(255),(51.0),(51.0)
"(8, 14)",(255),(63.75),(38.25)
"(8, 15)",(255),(25.5),(38.25)
"(8, 16)",(255),(51.0),(38.25)
"(8, 17)",(255),(25.5),(51.0)
"(8, 18)",(255),(0.0),(12.75)
"(8, 19)",(255),(12.75),(12.75)
"(9, 0)",(255),(38.25),(51.0)
"(9, 1)",(255),(63.75),(38.25)
"(9, 2)",(255),(51.0),(89.25)
"(9, 3)",(255),(12.75),(12.75)
"(9, 4)",(255),(51.0),(38.25)
"(9, 5)",(255),(51.0),(51.0)
"(9, 6)",(255),(38.25),(25.5)
"(9, 7)",(255),(12.75),(25.5)
"(9, 8)",(255),(25.5),(12.75)
"(9, 9)",(255),(25.5),(12.75)
"(9, 10)",(255),(12.75),(25.5)
"(9, 11)",(255),(38.25),(38.25)
"(9, 12)",(255),(38.25),(51.0)
"(9, 13)",(255),(25.5),(25.5)
"(9, 14)",(255),(51.0),(51.0)
"(9, 15)",(255),(25.5),(25.5)
"(9, 16)",(255),(51.0),(25.5)
"(9, 17)",(255),(12.75),(12.75)
"(9, 18)",(255),(51.0),(51.0)
"(9, 19)",(255),(51.0),(63.75)
"(10, 0)",(255),(25.5),(25.5)
"(10, 1)",(255),(25.5),(25.5)
"(10, 2)",(255),(12.75),(12.75)
"(10, 3)",(255),(63.75),(51.0)
"(10, 4)",(255),(63.75),(38.25)
"(10, 5)",(255),(0.0),(51.0)
"(10, 6)",(255),(25.5),(25.5)
"(10, 7)",(255),(12.75),(12.75)
"(10, 8)",(255),(38.25),(25.5)
"(10, 9)",(255),(25.5),(38.25)
"(10, 10)",(255),(63.75),(38.25)
"(10, 11)",(255),(38.25),(25.5)
"(10, 12)",(255),(0.0),(0.0)
"(10, 13)",(255),(25.5),(25.5)
"(10, 14)",(255),(63.75),(12.75)
"(10, 15)",(255),(25.5),(51.0)
"(10, 16)",(255),(63.75),(89.25)
"(10, 17)",(255),(25.5),(25.5)
"(10, 18)",(255),(0.0),(12.75)
"(10, 19)",(255),(12.75),(12.75)
"(11, 0)",(255),(25.5),(12.75)
"(11, 1)",(255),(38.25),(38.25)
"(11, 2)",(255),(12.75),(25.5)
"(11, 3)",(255),(12.75),(25.5)
"(11, 4)",(255),(25.5),(38.25)
"(11, 5)",(255),(25.5),(12.75)
"(11, 6)",(255),(38.25),(38.25)
"(11, 7)",(255),(38.25),(51.0)
"(11, 8)",(255),(38.25),(25.5)
"(11, 9)",(255),(25.5),(12.75)
"(11, 10)",(255),(38.25),(51.0)
"(11, 11)",(255),(63.75),(89.25)
"(11, 12)",(255),(76.5),(63.75)
"(11, 13)",(255),(51.0),(38.25)
"(11, 14)",(255),(25.5),(76.5)
"(11, 15)",(255),(51.0),(38.25)
"(11, 16)",(255),(38.25),(25.5)
"(11, 17)",(255),(51.0),(38.25)
"(11, 18)",(255),(51.0),(38.25)
"(11, 19)",(255),(38.25),(63.75)
"(12, 0)",(255),(0.0),(0.0)
"(12, 1)",(255),(38.25),(38.25)
"(12, 2)",(255),(0.0),(12.75)
"(12, 3)",(255),(76.5),(51.0)
"(12, 4)",(255),(0.0),(0.0)
"(12, 5)",(255),(25.5),(25.5)
"(12, 6)",(255),(51.0),(51.0)
"(12, 7)",(255),(0.0),(0.0)
"(12, 8)",(255),(25.5),(25.5)
"(12, 9)",(255),(12.75),(12.75)
"(12, 10)",(255),(38.25),(25.5)
"(12, 11)",(255),(25.5),(12.75)
"(12, 12)",(255),(38.25),(51.0)
